>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346

>AT3G46530 | Symbols: RPP13 | NB-ARC domain-containing disease resistance protein | chr3:17130739-17133246 REVERSE LENGTH=835

>AT3G04480 | Symbols:  | endoribonucleases | chr3:1193988-1197320 REVERSE LENGTH=718

>AT3G02180 | Symbols: SP1L3 | SPIRAL1-like3 | chr3:404989-405457 FORWARD LENGTH=122

>AT3G63220 | Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr3:23357540-23358577 REVERSE LENGTH=345

>AT3G01185 | Symbols:  | Protein of unknown function (DUF784) | chr3:66471-66917 FORWARD LENGTH=148

>AT3G56640 | Symbols: SEC15A | exocyst complex component sec15A | chr3:20981964-20984336 FORWARD LENGTH=790

>AT3G03440 | Symbols:  | ARM repeat superfamily protein | chr3:815709-818568 FORWARD LENGTH=408

>AT3G43860 | Symbols: AtGH9A4, GH9A4 | glycosyl hydrolase 9A4 | chr3:15707183-15709438 FORWARD LENGTH=486

>AT3G05160 | Symbols:  | Major facilitator superfamily protein | chr3:1453267-1456997 REVERSE LENGTH=458

>AT3G25400 | Symbols:  | CONTAINS InterPro DOMAIN/s: NTP Pyrophosphohydrolase MazG-related, RS21-C6 (InterPro:IPR011394), EAR (InterPro:IPR009039), NTP pyrophosphohydrolase MazG, putative catalytic core (InterPro:IPR004518); Has 1123 Blast hits to 1121 proteins in 452 species: Archae - 22; Bacteria - 753; Metazoa - 81; Fungi - 3; Plants - 83; Viruses - 0; Other Eukaryotes - 181 (source: NCBI BLink). | chr3:9213236-9214144 FORWARD LENGTH=141

>AT3G56630 | Symbols: CYP94D2 | cytochrome P450, family 94, subfamily D, polypeptide 2 | chr3:20978953-20980512 FORWARD LENGTH=499

>AT3G21500 | Symbols: DXPS1 | 1-deoxy-D-xylulose 5-phosphate synthase 1 | chr3:7573907-7576594 REVERSE LENGTH=641

>AT3G13450 | Symbols: DIN4 | Transketolase family protein | chr3:4382340-4384295 REVERSE LENGTH=358

>AT3G59230 | Symbols:  | RNI-like superfamily protein | chr3:21896052-21897787 REVERSE LENGTH=491

>AT3G23910 | Symbols:  | BEST Arabidopsis thaliana protein match is: RNA-directed DNA polymerase (reverse transcriptase)-related family protein (TAIR:AT3G24255.2); Has 562 Blast hits to 532 proteins in 147 species: Archae - 28; Bacteria - 51; Metazoa - 157; Fungi - 82; Plants - 85; Viruses - 6; Other Eukaryotes - 153 (source: NCBI BLink). | chr3:8636594-8639344 REVERSE LENGTH=421

>AT3G04590 | Symbols:  | AT hook motif DNA-binding family protein | chr3:1239213-1241603 REVERSE LENGTH=309

>AT3G54010 | Symbols: PAS1, DEI1 | FKBP-type peptidyl-prolyl cis-trans isomerase family protein | chr3:20001042-20005063 FORWARD LENGTH=635

>AT3G56650 | Symbols:  | Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein | chr3:20984807-20985913 FORWARD LENGTH=262

>AT3G57300 | Symbols: INO80, ATINO80 | INO80 ortholog | chr3:21199612-21207635 FORWARD LENGTH=1507

>AT3G23540 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr3:8443665-8448070 FORWARD LENGTH=566

>AT3G25410 | Symbols:  | Sodium Bile acid symporter family | chr3:9214565-9216331 REVERSE LENGTH=431

>AT3G15170 | Symbols: CUC1, ANAC054, ATNAC1 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein | chr3:5109912-5111435 FORWARD LENGTH=310

>AT3G44110 | Symbols: ATJ3, ATJ | DNAJ homologue 3 | chr3:15869115-15871059 REVERSE LENGTH=420

>AT3G27250 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G40800.1); Has 104 Blast hits to 104 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 104; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:10061633-10062481 FORWARD LENGTH=282

>AT3G10520 | Symbols: AHB2, GLB2, ARATH GLB2, NSHB2, ATGLB2, HB2 | haemoglobin 2 | chr3:3276516-3277765 REVERSE LENGTH=158

>AT3G63210 | Symbols: MARD1 | Protein of unknown function (DUF581) | chr3:23354019-23354906 REVERSE LENGTH=263

>AT3G59990 | Symbols: MAP2B | methionine aminopeptidase 2B | chr3:22155921-22158551 REVERSE LENGTH=439

>AT3G02170 | Symbols: LNG2 | longifolia2 | chr3:396208-399393 REVERSE LENGTH=905

>AT3G20870 | Symbols: ZTP29 | ZIP metal ion transporter family | chr3:7309499-7312476 REVERSE LENGTH=276

>AT3G30580 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G38790.1); Has 75 Blast hits to 75 proteins in 16 species: Archae - 2; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 63; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink). | chr3:12167767-12168153 REVERSE LENGTH=128

>AT3G59240 | Symbols:  | RNI-like superfamily protein | chr3:21898682-21900364 REVERSE LENGTH=504

>AT3G23550 | Symbols:  | MATE efflux family protein | chr3:8448435-8450649 REVERSE LENGTH=469

>AT3G20865 | Symbols: AGP40 | arabinogalactan protein 40 | chr3:7308699-7308887 REVERSE LENGTH=62

>AT3G10815 | Symbols:  | RING/U-box superfamily protein | chr3:3385009-3385608 REVERSE LENGTH=199

>AT3G57290 | Symbols: EIF3E, TIF3E1, ATEIF3E-1, INT-6, ATINT6, INT6 | eukaryotic translation initiation factor 3E | chr3:21196786-21199073 REVERSE LENGTH=441

>AT3G25290 | Symbols:  | Auxin-responsive family protein | chr3:9208955-9210353 FORWARD LENGTH=393

>AT3G27830 | Symbols: RPL12-A, RPL12 | ribosomal protein L12-A | chr3:10318576-10319151 FORWARD LENGTH=191

>AT3G26590 | Symbols:  | MATE efflux family protein | chr3:9761927-9765259 REVERSE LENGTH=500

>AT3G29430 | Symbols:  | Terpenoid synthases superfamily protein | chr3:11311427-11312604 FORWARD LENGTH=357

>AT3G14160 | Symbols:  | 2-oxoglutarate-dependent dioxygenase family protein | chr3:4693495-4695198 FORWARD LENGTH=455

>AT3G27840 | Symbols: RPL12-B | ribosomal protein L12-B | chr3:10323354-10323935 FORWARD LENGTH=193

>AT3G03950 | Symbols: ECT1 | evolutionarily conserved C-terminal region 1 | chr3:1021502-1023767 FORWARD LENGTH=425

>AT3G52115 | Symbols: ATGR1, ATCOM1, COM1, GR1 | gamma response gene 1 | chr3:19326333-19328245 FORWARD LENGTH=588

>AT3G23510 | Symbols:  | Cyclopropane-fatty-acyl-phospholipid synthase | chr3:8428071-8433159 FORWARD LENGTH=867

>AT3G28420 | Symbols:  | Putative membrane lipoprotein | chr3:10654674-10655324 REVERSE LENGTH=216

>AT3G26190 | Symbols: CYP71B21 | cytochrome P450, family 71, subfamily B, polypeptide 21 | chr3:9583475-9585083 REVERSE LENGTH=499

>AT3G15240 | Symbols:  | Serine/threonine-protein kinase WNK (With No Lysine)-related | chr3:5133681-5135797 FORWARD LENGTH=362

>AT3G56020 | Symbols:  | Ribosomal protein L41 family | chr3:20790826-20791043 REVERSE LENGTH=25

>AT3G16770 | Symbols: RAP2.3, ATEBP, ERF72, EBP | ethylene-responsive element binding protein | chr3:5705784-5706768 FORWARD LENGTH=248

>AT3G58790 | Symbols: GAUT15 | galacturonosyltransferase 15 | chr3:21742455-21745972 REVERSE LENGTH=540

>AT3G61380 | Symbols:  | Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related | chr3:22708769-22711279 REVERSE LENGTH=718

>AT3G52080 | Symbols: chx28 | cation/hydrogen exchanger 28 | chr3:19315090-19317735 FORWARD LENGTH=801

>AT3G56010 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 25 Blast hits to 25 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:20788758-20789656 FORWARD LENGTH=201

>AT3G63280 | Symbols: ATNEK4, NEK4 | NIMA-related kinase 4 | chr3:23378582-23381362 FORWARD LENGTH=555

>AT3G58800 | Symbols:  | unknown protein; Has 75 Blast hits to 75 proteins in 23 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 53; Viruses - 17; Other Eukaryotes - 5 (source: NCBI BLink). | chr3:21748562-21749596 FORWARD LENGTH=344

>AT3G20340 | Symbols:  | Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress. | chr3:7093075-7093422 REVERSE LENGTH=115

>AT3G11040 | Symbols:  | Glycosyl hydrolase family 85  | chr3:3460143-3463312 FORWARD LENGTH=701

>AT3G52070 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 23 Blast hits to 23 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 23; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:19312753-19313097 FORWARD LENGTH=114

>AT3G62620 | Symbols:  | sucrose-phosphatase-related | chr3:23159845-23161606 FORWARD LENGTH=358

>AT3G20900 | Symbols:  | unknown protein; Has 2 Blast hits to 2 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:7323984-7324670 REVERSE LENGTH=68

>AT3G01220 | Symbols: ATHB20, HB20 | homeobox protein 20 | chr3:73599-75295 FORWARD LENGTH=286

>AT3G56030 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:20791259-20792314 FORWARD LENGTH=351

>AT3G62610 | Symbols: ATMYB11, PFG2, MYB11 | myb domain protein 11 | chr3:23154758-23156371 FORWARD LENGTH=343

>AT3G56040 | Symbols: UGP3 | UDP-glucose pyrophosphorylase 3 | chr3:20792689-20797482 REVERSE LENGTH=883

>AT3G01210 | Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr3:72182-73159 FORWARD LENGTH=249

>AT3G12955 | Symbols:  | SAUR-like auxin-responsive protein family  | chr3:4135659-4136078 REVERSE LENGTH=139

>AT3G03400 | Symbols:  | EF hand calcium-binding protein family | chr3:808745-809158 REVERSE LENGTH=137

>AT3G28415 | Symbols:  | ABC transporter family protein | chr3:10647123-10651540 REVERSE LENGTH=1221

>AT3G23460 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr3:8412319-8414319 FORWARD LENGTH=305

>AT3G20890 | Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr3:7319939-7321054 FORWARD LENGTH=292

>AT3G05165 | Symbols:  | Major facilitator superfamily protein | chr3:1458287-1462737 REVERSE LENGTH=467

>AT3G59540 | Symbols:  | Ribosomal L38e protein family | chr3:21995897-21996742 REVERSE LENGTH=69

>AT3G16780 | Symbols:  | Ribosomal protein L19e family protein | chr3:5708982-5710249 FORWARD LENGTH=209

>AT3G51140 | Symbols:  | Protein of unknown function (DUF3353) | chr3:18998182-18999437 FORWARD LENGTH=278

>AT3G54030 | Symbols:  | Protein kinase protein with tetratricopeptide repeat domain | chr3:20011162-20013490 FORWARD LENGTH=490

>AT3G27880 | Symbols:  | Protein of unknown function (DUF1645) | chr3:10338429-10339157 FORWARD LENGTH=242

>AT3G63270 | Symbols:  | CONTAINS InterPro DOMAIN/s: Putative harbinger transposase-derived nuclease (InterPro:IPR006912); BEST Arabidopsis thaliana protein match is: PIF / Ping-Pong family of plant transposases (TAIR:AT3G55350.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr3:23375932-23377398 REVERSE LENGTH=396

>AT3G60010 | Symbols: ASK13, SK13 | SKP1-like 13 | chr3:22163094-22163558 REVERSE LENGTH=154

>AT3G54460 | Symbols:  | SNF2 domain-containing protein / helicase domain-containing protein / F-box family protein | chr3:20162050-20167186 REVERSE LENGTH=1378

>AT3G15090 | Symbols:  | GroES-like zinc-binding alcohol dehydrogenase family protein | chr3:5076847-5078870 FORWARD LENGTH=366

>AT3G52810 | Symbols: ATPAP21, PAP21 | purple acid phosphatase 21 | chr3:19571089-19573640 REVERSE LENGTH=437

>AT3G59200 | Symbols:  | F-box/RNI-like superfamily protein | chr3:21887484-21889214 FORWARD LENGTH=520

>AT3G13220 | Symbols: WBC27, ABCG26 | ABC-2 type transporter family protein | chr3:4247968-4250703 REVERSE LENGTH=685

>AT3G50820 | Symbols: PSBO2, PSBO-2, OEC33 | photosystem II subunit O-2 | chr3:18891008-18892311 REVERSE LENGTH=331

>AT3G58810 | Symbols: MTPA2, ATMTPA2, MTP3, ATMTP3 | metal tolerance protein A2 | chr3:21750551-21751849 FORWARD LENGTH=432

>AT3G09360 | Symbols:  | Cyclin/Brf1-like TBP-binding protein | chr3:2873796-2878432 FORWARD LENGTH=604

>AT3G60020 | Symbols: ASK5, SK5 | SKP1-like 5 | chr3:22164844-22165305 REVERSE LENGTH=153

>AT3G58820 | Symbols:  | F-box/RNI-like superfamily protein | chr3:21752960-21754615 FORWARD LENGTH=413

>AT3G04440 | Symbols:  | Plasma-membrane choline transporter family protein | chr3:1178718-1180537 FORWARD LENGTH=482

>AT3G27160 | Symbols: GHS1 | Ribosomal protein S21 family protein | chr3:10017531-10018854 FORWARD LENGTH=183

>AT3G01230 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G01240.1); Has 11 Blast hits to 11 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 11; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:76937-77317 REVERSE LENGTH=126

>AT3G53630 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G18692.1); Has 42 Blast hits to 42 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:19883986-19885568 FORWARD LENGTH=194

>AT3G10220 | Symbols:  | tubulin folding cofactor B | chr3:3161977-3164037 FORWARD LENGTH=243

>AT3G27150 | Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr3:10009692-10010960 REVERSE LENGTH=422

>AT3G26460 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr3:9684053-9684607 REVERSE LENGTH=152

>AT3G16750 | Symbols:  | unknown protein; Has 4708 Blast hits to 1416 proteins in 195 species: Archae - 36; Bacteria - 1240; Metazoa - 1232; Fungi - 406; Plants - 191; Viruses - 23; Other Eukaryotes - 1580 (source: NCBI BLink). | chr3:5701145-5702013 REVERSE LENGTH=194

>AT3G54780 | Symbols:  | Zinc finger (C3HC4-type RING finger) family protein | chr3:20278985-20281429 FORWARD LENGTH=675

>AT3G51100 | Symbols:  | unknown protein; Has 48 Blast hits to 48 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:18980531-18982174 REVERSE LENGTH=211

>AT3G55510 | Symbols: RBL | Noc2p family | chr3:20579232-20582124 FORWARD LENGTH=594

>AT3G27900 | Symbols:  | Protein of unknown function (DUF1184) | chr3:10352905-10353639 REVERSE LENGTH=244

>AT3G25430 | Symbols:  | Polynucleotidyl transferase, ribonuclease H-like superfamily protein | chr3:9221204-9223700 FORWARD LENGTH=618

>AT3G21410 | Symbols:  | F-box and associated interaction domains-containing protein | chr3:7536719-7537951 REVERSE LENGTH=410

>AT3G60030 | Symbols: SPL12 | squamosa promoter-binding protein-like 12 | chr3:22165856-22169410 REVERSE LENGTH=927

>AT3G27170 | Symbols: CLC-B, ATCLC-B | chloride channel B | chr3:10024147-10026921 FORWARD LENGTH=780

>AT3G52060 | Symbols:  | Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein | chr3:19310987-19312027 REVERSE LENGTH=346

>AT3G20910 | Symbols: NF-YA9 | nuclear factor Y, subunit A9 | chr3:7326495-7328369 FORWARD LENGTH=303

>AT3G53640 | Symbols:  | Protein kinase superfamily protein | chr3:19887007-19888935 REVERSE LENGTH=642

>AT3G09350 | Symbols: Fes1A | Fes1A | chr3:2871216-2873109 FORWARD LENGTH=363

>AT3G25420 | Symbols: scpl21 | serine carboxypeptidase-like 21 | chr3:9217832-9220836 FORWARD LENGTH=505

>AT3G19050 | Symbols: POK2 | phragmoplast orienting kinesin 2 | chr3:6578047-6590106 FORWARD LENGTH=2771

>AT3G49100 | Symbols:  | Signal recognition particle, SRP9/SRP14 subunit | chr3:18196944-18198298 FORWARD LENGTH=103

>AT3G16760 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:5703213-5705080 FORWARD LENGTH=456

>AT3G51130 | Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0183 (InterPro:IPR005373); Has 269 Blast hits to 265 proteins in 123 species: Archae - 0; Bacteria - 0; Metazoa - 131; Fungi - 82; Plants - 37; Viruses - 0; Other Eukaryotes - 19 (source: NCBI BLink). | chr3:18994219-18997180 FORWARD LENGTH=410

>AT3G50250 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G19270.1); Has 6 Blast hits to 5 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 6; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:18630032-18630478 REVERSE LENGTH=148

>AT3G12950 | Symbols:  | Trypsin family protein | chr3:4132798-4134818 REVERSE LENGTH=558

>AT3G51110 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr3:18983711-18984952 FORWARD LENGTH=413

>AT3G51120 | Symbols:  | DNA binding;zinc ion binding;nucleic acid binding;nucleic acid binding | chr3:18986026-18991886 REVERSE LENGTH=1292

>AT3G27890 | Symbols: NQR | NADPH:quinone oxidoreductase | chr3:10350807-10351938 REVERSE LENGTH=196

>AT3G06730 | Symbols: TRX P, TRX z | Thioredoxin z | chr3:2124276-2125845 FORWARD LENGTH=183

>AT3G27180 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr3:10027163-10030062 REVERSE LENGTH=518

>AT3G62630 | Symbols:  | Protein of unknown function (DUF1645) | chr3:23163937-23165079 REVERSE LENGTH=380

>AT3G28430 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function FPL (InterPro:IPR019155); Has 243 Blast hits to 233 proteins in 101 species: Archae - 0; Bacteria - 0; Metazoa - 110; Fungi - 0; Plants - 53; Viruses - 0; Other Eukaryotes - 80 (source: NCBI BLink). | chr3:10657441-10662404 REVERSE LENGTH=837

>AT3G09340 | Symbols:  | Transmembrane amino acid transporter family protein | chr3:2868050-2870526 REVERSE LENGTH=528

>AT3G13228 | Symbols:  | RING/U-box superfamily protein | chr3:4267075-4268052 FORWARD LENGTH=325

>AT3G58780 | Symbols: SHP1, AGL1 | K-box region and MADS-box transcription factor family protein  | chr3:21739150-21741766 FORWARD LENGTH=248

>AT3G52105 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr3:19323394-19323606 FORWARD LENGTH=70

>AT3G26650 | Symbols: GAPA, GAPA-1 | glyceraldehyde 3-phosphate dehydrogenase A subunit | chr3:9795226-9796848 FORWARD LENGTH=396

>AT3G52770 | Symbols: ZPR3 | protein binding | chr3:19557891-19558094 REVERSE LENGTH=67

>AT3G44100 | Symbols:  | MD-2-related lipid recognition domain-containing protein | chr3:15866162-15867273 REVERSE LENGTH=152

>AT3G19070 | Symbols:  | Homeodomain-like superfamily protein | chr3:6593773-6594977 FORWARD LENGTH=346

>AT3G15220 | Symbols:  | Protein kinase superfamily protein | chr3:5126899-5131752 REVERSE LENGTH=690

>AT3G44010 | Symbols:  | Ribosomal protein S14p/S29e family protein | chr3:15800175-15801132 REVERSE LENGTH=56

>AT3G10820 | Symbols:  | Transcription elongation factor (TFIIS) family protein | chr3:3387358-3389026 FORWARD LENGTH=288

>AT3G10050 | Symbols: OMR1 | L-O-methylthreonine resistant 1 | chr3:3099164-3101741 REVERSE LENGTH=592

>AT3G15940 | Symbols:  | UDP-Glycosyltransferase superfamily protein | chr3:5393632-5396187 REVERSE LENGTH=697

>AT3G19860 | Symbols: bHLH121 | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr3:6904579-6905863 FORWARD LENGTH=284

>AT3G23930 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: hypocotyl; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G13540.1); Has 10639 Blast hits to 7432 proteins in 646 species: Archae - 82; Bacteria - 826; Metazoa - 5047; Fungi - 759; Plants - 314; Viruses - 86; Other Eukaryotes - 3525 (source: NCBI BLink). | chr3:8647028-8647775 FORWARD LENGTH=224

>AT3G03420 | Symbols:  | Ku70-binding family protein | chr3:812527-813644 FORWARD LENGTH=194

>AT3G43120 | Symbols:  | SAUR-like auxin-responsive protein family  | chr3:15094644-15095312 FORWARD LENGTH=160

>AT3G50810 | Symbols:  | Uncharacterised protein family (UPF0497) | chr3:18889002-18889868 REVERSE LENGTH=154

>AT3G15920 | Symbols:  | Phox (PX) domain-containing protein | chr3:5383768-5386955 REVERSE LENGTH=755

>AT3G21430 | Symbols: ATALY3, ALY3 | DNA binding | chr3:7544800-7552841 REVERSE LENGTH=1132

>AT3G58750 | Symbols: CSY2 | citrate synthase 2 | chr3:21724564-21727458 REVERSE LENGTH=514

>AT3G59210 | Symbols:  | F-box/RNI-like superfamily protein | chr3:21889942-21891553 FORWARD LENGTH=484

>AT3G56060 | Symbols:  | Glucose-methanol-choline (GMC) oxidoreductase family protein | chr3:20803328-20805983 REVERSE LENGTH=577

>AT3G52110 | Symbols:  | unknown protein; Has 191 Blast hits to 174 proteins in 54 species: Archae - 0; Bacteria - 7; Metazoa - 45; Fungi - 7; Plants - 40; Viruses - 0; Other Eukaryotes - 92 (source: NCBI BLink). | chr3:19323925-19325632 REVERSE LENGTH=362

>AT3G10530 | Symbols:  | Transducin/WD40 repeat-like superfamily protein | chr3:3286277-3288670 FORWARD LENGTH=536

>AT3G12210 | Symbols:  | DNA binding | chr3:3894843-3895879 FORWARD LENGTH=209

>AT3G43110 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: petal, flower; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G20790.1); Has 30 Blast hits to 30 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 30; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:15091710-15092285 REVERSE LENGTH=191

>AT3G15210 | Symbols: ATERF-4, ERF4, RAP2.5, ATERF4 | ethylene responsive element binding factor 4 | chr3:5121472-5122140 FORWARD LENGTH=222

>AT3G52760 | Symbols:  | Integral membrane Yip1 family protein | chr3:19553932-19554705 REVERSE LENGTH=257

>AT3G19080 | Symbols:  | SWIB complex BAF60b domain-containing protein | chr3:6596082-6598667 FORWARD LENGTH=462

>AT3G47290 | Symbols: ATPLC8, PLC8 | phosphatidylinositol-speciwc phospholipase C8 | chr3:17420606-17423329 FORWARD LENGTH=531

>AT3G27190 | Symbols: UKL2 | uridine kinase-like 2 | chr3:10039504-10042917 REVERSE LENGTH=483

>AT3G45240 | Symbols: GRIK1, ATSNAK2 | geminivirus rep interacting kinase 1 | chr3:16570774-16572902 REVERSE LENGTH=396

>AT3G58730 | Symbols:  | vacuolar ATP synthase subunit D (VATD) / V-ATPase D subunit / vacuolar proton pump D subunit (VATPD) | chr3:21718495-21719280 REVERSE LENGTH=261

>AT3G28410 | Symbols:  | F-box/RNI-like superfamily protein | chr3:10640152-10642071 REVERSE LENGTH=465

>AT3G23480 | Symbols:  | Cyclopropane-fatty-acyl-phospholipid synthase | chr3:8420284-8422603 FORWARD LENGTH=447

>AT3G10525 | Symbols: LGO, SMR1 | LOSS OF GIANT CELLS FROM ORGANS | chr3:3281576-3281962 REVERSE LENGTH=128

>AT3G23490 | Symbols: CYN | cyanase | chr3:8423238-8424415 REVERSE LENGTH=168

>AT3G63250 | Symbols: HMT-2, ATHMT-2, HMT2 | homocysteine methyltransferase 2 | chr3:23370575-23371974 REVERSE LENGTH=293

>AT3G20320 | Symbols: TGD2 | trigalactosyldiacylglycerol2 | chr3:7088589-7089640 REVERSE LENGTH=282

>AT3G29450 | Symbols:  | General transcription factor 2-related zinc finger protein | chr3:11322669-11324582 FORWARD LENGTH=522

>AT3G20880 | Symbols: WIP4 | WIP domain protein 4 | chr3:7313759-7315792 REVERSE LENGTH=412

>AT3G60000 | Symbols: QWRF6 | Family of unknown function (DUF566)  | chr3:22160930-22162718 FORWARD LENGTH=442

>AT3G56690 | Symbols: CIP111 | Cam interacting protein 111 | chr3:20993869-20998531 REVERSE LENGTH=1022

>AT3G45030 | Symbols:  | Ribosomal protein S10p/S20e family protein | chr3:16471606-16472312 REVERSE LENGTH=124

>AT3G21450 | Symbols:  | Protein kinase superfamily protein | chr3:7553965-7555236 REVERSE LENGTH=270

>AT3G58740 | Symbols: CSY1 | citrate synthase 1 | chr3:21721066-21723726 REVERSE LENGTH=480

>AT3G59550 | Symbols: SYN3, ATRAD21.2, ATSYN3 | Rad21/Rec8-like family protein | chr3:21997262-22000496 FORWARD LENGTH=693

>AT3G18470 | Symbols:  | PLAC8 family protein | chr3:6335000-6335698 REVERSE LENGTH=133

>AT3G27870 | Symbols:  | ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein | chr3:10330950-10335288 FORWARD LENGTH=1189

>AT3G52790 | Symbols:  | peptidoglycan-binding LysM domain-containing protein | chr3:19566004-19566333 REVERSE LENGTH=109

>AT3G03405 | Symbols:  | F-box associated ubiquitination effector family protein | chr3:809875-810795 REVERSE LENGTH=193

>AT3G58770 | Symbols:  | unknown protein; Has 38 Blast hits to 36 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 32; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink). | chr3:21732520-21735183 FORWARD LENGTH=771

